parcel,leased
410105100009.00000000,1
410105200029.00000000,1
410105300003.00000000,1
410106200015.00000000,1
410106200017.00000000,1
410106300005.00000000,1
410106300007.00000000,1
410106300008.00000000,1
410106400003.00000000,1
410107200008.00000000,1
410107400006.00000000,1
410108100003.00000000,1
410108100019.00000000,1
410108200016.00000000,1
410109100037.00000000,1
410110300007.00000000,1
410114100005.00000000,1
410114100008.00000000,1
410114100009.00000000,1
410114100016.00000000,1
410114300005.00000000,1
410115100004.00000000,1
410115100013.00000000,1
410115100017.00000000,1
410115200012.00000000,1
410115300003.00000000,1
410115300026.00000000,1
410115300045.00000000,1
410115400026.00000000,1
410115400029.00000000,1
410115400030.00000000,1
410115400031.00000000,1
410115400032.00000000,1
410115400033.00000000,1
410117100020.00000000,1
410117400013.00000000,1
410118100021.00000000,1
410118100022.00000000,1
410118200012.00000000,1
410118300020.00000000,1
410118300021.00000000,1
410118300024.00000000,1
410118400008.00000000,1
410119200001.00000000,1
410119376003.00000000,1
410120200001.00000000,1
410121100042.00000000,1
410121100042.00000000,1
410121100042.00000000,1
410121300020.00000000,1
410121300025.00000000,1
410121300025.00000000,1
410121300025.00000000,1
410128100006.00000000,1
410128100006.00000000,1
410130300005.00000000,1
410130300010.00000000,1
410131300033.00000000,1
410202300008.00000000,1
410301200003.00000000,1
410412100020.00000000,1
410420100003.00000000,1
410420100003.00000000,1
410420100003.00000000,1
410433300009.00000000,1
410433300009.00000000,1
410433400022.00000000,1
410433400022.00000000,1
410505300026.00000000,1
410505400004.00000000,1
410505400006.00000000,1
410506100003.00000000,1
410506100004.00000000,1
410506200007.00000000,1
410507300010.00000000,1
410508100022.00000000,1
410508100030.00000000,1
410508100033.00000000,1
410509100017.00000000,1
410509300002.00000000,1
410509300010.00000000,1
410509300011.00000000,1
410509300011.00000000,1
410509300011.00000000,1
410509400012.00000000,1
410509400019.00000000,1
410511300009.00000000,1
410517100014.00000000,1
410517100014.00000000,1
410517200030.00000000,1
410517300015.00000000,1
410518100005.00000000,1
410518200005.00000000,1
410519100002.00000000,1
410519226004.00000000,1
410519301001.00000000,1
410519301001.00000000,1
410519301002.00000000,1
410519376001.00000000,1
410520100019.00000000,1
410520400001.00000000,1
410520400001.00000000,1
410521400011.00000000,1
410529300002.00000000,1
410529300003.00000000,1
410529400002.00000000,1
410529400006.00000000,1
410530400010.00000000,1
410533100005.00000000,1
410533200002.00000000,1
410533300009.00000000,1
410533400048.00000000,1
410701300002.00000000,1
410704400016.00000000,1
410714200024.00000000,1
410715300008.00000000,1
410715300012.00000000,1
410716400003.00000000,1
410716400006.00000000,1
410721200006.00000000,1
410722100004.00000000,1
410722200005.00000000,1
410723100006.00000000,1
410723300008.00000000,1
